"","book_title","review_title","review_user","book_id","review_id","timestamp","review_text","review_score"
"13","Fifty Things That Aren't My Fault: Essays from the Grown-up Years","Oh, How I can Relate","Monnie Ryan","0735218420","R38CBYF9J4SHVX","1554976959","I'm not sure which I did more of while reading this wonderful book: chuckle out loud or wipe away tears. It helps, I suppose, that I was a huge fan of the author's long-running ""Cathy"" comic strip. Perhaps more important, while I'm older than she is by nine years, I, too, was a champion of the feminist movement (still am, as is she) and was for a time sandwiched in between parents and a daughter, all of whom were growing old, and up, way too fast. Sadly, my parents are gone now - and my daughter has become the ""stuff"" inside the Oreo of life, caught between a grown daughter of her own and her aging parents (which, Lord help us, means me and my husband).

In any event, oh, how I can relate - and I'm quite sure all but teenybopper females will do so as well. These essays were written, Guisewite says, at a time when she's trying to ""declutter"" her own life (hmmm, I'm pretty sure that's a word that passed through our daughter's lips last time she popped in for a visit). Feminist though she may be, Guisewite admits to feeling torn between Betty Crocker and Betty Friedan (conjuring up decades-ago memories of whipping up a casserole for my family to eat while I attended a Gloria Steinem lecture). I choked with laughter - and frustration - as she recounted getting ""stuck"" in a sports bra; as a gym newbie, I can tell you it's not fun (though worse, perhaps, is the embarrassment over having to call someone to your rescue). And before I caved and joined the gym, I, too, resisted the call to exercise, rationalizing that ""I exercised yesterday and I don't look any different.""

There are far too many other shared feelings and experiences to mention here (especially since I don't want to spoil the fun for other readers). In the end, she sums up the dilemma we're in perfectly: ""My whole generation is reeling from the stunning truth - that we, who are way too young and hip to ever look or act old, are not too young to pass away."" Aha - maybe that's why I glance proudly at the year-old Aristocat tattoo on the top of my flip-flop clad foot as I open the morning newspaper first to the obituaries pages. Torn indeed!

In short, I love, love, love this book - highly recommended. Many thanks to the publisher, via NetGalley, for the opportunity to read and review an advance copy.",5
"15","Cemetery Road: A Novel","Entertaining and hard to put down...","Kelly Manifest","0062824619","R1J47BQ8FZ4HWN","1554977166","I’ve read/listened to all of Greg Iles books and this one does not disappoint. Yes, Greg did includeTrump comments and constant mention of his Flex, however, I don’t feel those issuesdetracted from the storyline...it’s a story, for heavens sake!  I, personally, totally enjoyed this novel,and highly recommend this book to anyone looking for a good page turner. Can’t wait for Greg’s nextthrilling novel!!",5
"16","The Woman in the Window: A Novel","Great read.","KRISTEN M MCGLYNN","62678426","R28RGFLSDRJ3L6","1554977242","Best book I read in 2018",5
"17","Run Away","He did it again!","MKS","1538748460","R1JY9Z48LFIYQZ","1554977295","I liked this story. It has a lot of scary truths to drugs and cults but Harlan Coben has shared with us a great mystery of sorts with the expected and unexpected twists and turns. Well done.",4
"18","Cemetery Road: A Novel","One Hell of a Story","A Southern Reader","0062824619","R38ETVQXZFZ1M1","1554977346","Isle's new book has it all.  A love triangle, murders, deaths of oved ones, a crusading journalist, Mississippi, really bad guys and really good guys, the Mississippi River, plot twists that won't stop, and a conclusion that doesn't strain belief.  I'm now waiting for the movie just like I was way back when I finished The Godfather.  And, the book is extremely well crafted with more than a few insights and thoughts that make you go, hmmm.  An unqualified five star recommendation.  And, on a related topic, the  Customer Reviews from the Trumpsters assembled who cannot ever seem to divorce anything from their frothing at the mouth defense of their idol.  The few passing references to Trump in the book are all well within the context of the book as the author establishes the time frame for the story.  Their recommendations to not buy the book should be completely disregarded.  The only downside to reading the book is that you will need to allot some of your life time as it is a real page turner right up to the end.",5
"19","Hashimoto’s Food Pharmacology: Nutrition…","The cookbook I've been waiting for.","Tina","0062571591","R3FCDIXX978UR","1554977388","I've been a big fan of Dr. Izabella Wentz's life-changing books for years, and she did it again! I was so excited to get my hands on this cookbook, and I'm so glad I did. The photos are GORGEOUS, and the recipes look easy to make - which is great because I don't like spending hours cooking in my kitchen. But it's more than just a cookbook - to my surprise, the first 114 pages are filled with vital information about Hashimoto's, guides on how to address nutrient depletions, and more. I plan on showing this amazing book to my family, so they can finally understand Hashimoto's and the reasons why I choose to follow a thyroid-friendly diet... and maybe make me some thyroid-friendly meals, too! ;)",5
"23","Discrimination and Disparities","Wisdom and Insights Abound!!","Amazon Customer","1541645634","R340Q5FFVU5HVP","1554977791","Mr Sowell is an American Treasure.  This book reminds me of the opening of Proverbs 1:  To know wisdom and instruction, to understand words of insight,to receive instruction in wise dealing, in righteousness, justice, and equity;to give prudence to the simple, knowledge and discretion to the youth—Let the wise hear and increase in learning, and the one who understands obtain guidance...",5
"24","A Gentleman in Moscow: A Novel","I finished the electronic and ordered the hardback. It's a keeper.","C. Watts","0143110438","R1F2758F32JEKR","1554978017","A large life inside just one hotel, how can it be? How could it ramble so seductively from 20th century Russian history, to the classics, to great literature, classic music, philosophy, to  observations of the human heart ... and still toss in some slapstick encounters and wine recommendations so comfortably?It is quite unlike any book I have ever read. It is the first book I have read in decades that I know I will reread.",5
"25","Milkman: A Novel","This book feels like a self indulgent stream of consciousness","Sheela","1644450003","R17B72UIFCXTD8","1554978200","There is a thin story line that gets lost in a winding stream of consciousness. None of the characters have names, and I had a hard time caring about any of them. There is a story there somewhere - about 30 minutes worth - buried in endless sentences that take the reader away from the story and into the author's disjointed self reflection.",5
"26","Cemetery Road: A Novel","Fantastic Book","Beth Ann Tilley","0062824619","R27FBWXVE25625","1554978426","OMG - What fantastic book!!! It took a little while to set up the story and it went full speed ahead.Secrets and lies never stay hidden especially in a small town.Marshall McEwan's move home to help take care of his terminally ill father starts a series of events that cannot be stopped until life's are destroyed and some lay dead.",5
"28","A Gentleman in Moscow: A Novel","One the Best! Exquisite old world novel about a young man ...","Anne Burnik","0143110438","R2RWF0SUY7MP4Z","1554978497","One the Best!Exquisite old world novel about a young man of nobility, Count Alexander Rostov, who is sentenced to house arrest in the Metropole Hotel in the center of Moscow after the Bolshevik Revolution. Confined to a tiny room in the attic, the Count nevertheless makes friends with the staff of the hotel, meets many who visit the hotel and has many adventures and interests portrayed against the backdrop of Russian history. Rather than letting his circumstances define him, the Count defines his circumstances with dignity, intelligence, kindness, curiosity and grace. More than one interesting character moves this story along and the Count’s philosophy and wisdom are interspersed throughout. There are lots of details regarding life in Russia after the revolution along with knowledge of the arts and fine living put to good use in creating a meaningful and fulfilling life. The ending is satisfying and appropriate. This novel is a keeper – one to reread and savor.",5
"29","I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer","Scary, fascinating, incomplete","Orange Newt","62319795","R2ABXXNJ472D0G","1554978856","I never lock my door at night -- but after reading this book I did, at least for a few days.  In California, while this guy was active, the bogeyman was real and deadly.  It's very sad that the author died before completing this book -- and before the ""Golden State Killer"" was finally identified by DNA matching! -- and more chapters than I was expecting were partial or sketchy or pieced together from articles and other sources.  But this is a fascinating compilation of what was known or suspected about this ransacker/rapist/murderer before he was unmasked.",4
"30","A Gentleman in Moscow: A Novel","The count taught many by example and explanation what it means to be a gentleman.","Maha Lubbat","0143110438","R1TVCLK17UATSQ","1554978857","Excellent writing, great personality analysis, positively optimistic despite the hardships. Every chapter is a new adventure. I really enjoyed having two young characters and their healthy fun relationship with the count. There is humor as well as intrigue. You tube has a very interesting speech by the author Amor Towle.worth watching.",5
"31","Cemetery Road: A Novel","Small Town Secrets at its Best","Patty N.","0062824619","R1HBSUGX06EI8U","1554978906","“Cemetery Road” by Greg Isles is one of the most gripping suspenseful novel I have ever read. Mr. Isles delves into the secrets behind a small town and the game one must play in order to have any type of life, but if a person chose not to play the game they may end up paying with your life. I recommend this book as it holds onto the reader with each word and truly keeps you guessing until the finale. I was given an advance copy of this book, and all of the opinions expressed in this review are my own.",5
"33","Cemetery Road: A Novel","Thanks for saving me money. I’ll skip this one.","Lori Johnson","0062824619","R3SALKY25M5FBT","1554979146","My thanks to all the reviewers. I have been a dedicated Iles fan for years. I adore his early books and read them over and over.Sadly, I had started noticing with the most recent trilogy that his writing was beginning to be very bloated. Additionally, Greg was falling victim to feeling his role is to be a moral authority. I miss the old days when his books were an intelligent escape. I loved reading them and saying to myself “Didn’t see THAT coming.”  Now they are increasingly preachy and drawn out.After reading the reviews, I plan on saving my time and money on this one.  While the addition of politics into this book may have been an attempt to keep it timely and relevant, it really makes it dated. Many Iles fans reread his books over and over years after they have been written. Not sure the politics of this time will hold up as a good read in 10 years.Please, Greg, bring back the timeless. totally engrossing thrillers with unexpected plot twists we used to know.  I’ll gladly pay for entertainment and escape, not politics.  I hope the next one is better. Fingers crossed.",1
"34","Hashimoto’s Food Pharmacology: Nutrition…","Food IS your best medicine!","Debbie Steinbock- Mindful Nutrition","0062571591","R16AZZQT61TM2N","1554979308","I am Nutrition Counselor who specializes in autoimmune disease and my husband is a Holistic Pediatrician. We believe that food IS the foundation of our health and this book provides you with delicious and satisfying recipes to help you achieve those goals!The pictures are absolutely stunning and the content goes far beyond that of your average cookbook. But I wouldn't expect anything less from Izabella Wentz! She is a wealth of knowledge about all things thyroid and autoimmune related, and as someone who has taken the journey back to health herself, she knows just how to guide you there!",5
"35","The Right Side of History: How Reason and Moral Purpose Made the West Great","An insightful page turner that should be required reading","Anthony Parlamento","62857908","R3TNTY818GDI6Q","1554979458","I know.... ""page turner""? I didn't expect it either. This is a summation of multiple philosophies and how they forged the West. It's a dive into the philosophies that are trying to destroy the West. Its a history lesson, a theology lesson. None of that sounds like it should excite or impassion a simpleton like me. But I made quick work of this book, and probably will read it again, because of its thoughtful, thorough, concise presentation of the facts and history that made the greatest country ever dreamt of, and the motives of those who wish to destroy it. Don't be intimidated by the subject matter. It's a must read.",5
"36","Cemetery Road: A Novel","Old Boys Club Runs A Small Mississippi Town","Dr. Stephen M. Bank","0062824619","R3PU25ZKD63NDT","1554979626","I have to be upfront and admit that Greg Iles is one of my favorite authors. I am one of his biggest fans after being fascinated by his trilogy....."" Natchez Burning"" , ""The Bone Tree "" and ''Mississippi Blood "" . His story telling skills are fantastic. Once you start one of these books, you won't put it down until you finish it !Marshall McEwan grew up in Bienville, Mississippi , but because of some tragic events in his childhood, he left to become an accomplished journalist in Washington, D.C. Because of the events he swore he would never return but when he was informed that this Dad was dying, he figured he had to go back. When he returns he finds Bienville in turmoil and the love of his life, Jet Talal, still married to a childhood buddy, Paul Matheson.The Chinese are about to build a paper mill which could probably revive Bienville's  failing economy.The town is run by an old boys club , known as the Bienville Poker Club. They are not elected officials , but the power behind the scenes is this historic club. But when Buck Ferris, a famed archaeologist is murdered, Marshall realizes that he can't leave town until he knows more of the answers to this crime. Ferris' death is made to look like an accident but to Marshall this doesn't smell right.The story will take you through the history of Bienville and lead you back up to the present situation. One think is sure you will learn a lot about Mississippi,it's past and it's present !!",5
"37","A Gentleman in Moscow: A Novel","One of My All-time Favorites","Cinnamon Burke","0143110438","R1DZJDSIZ4TYP5","1554979637","This is one of my all-time favorite books. The Count is such a charming man, and he creates a fulfilling life within the confines of an elegant hotel. He is banished to the tiny servants quarters and turns them into a comfortable home. He seizes every opportunity to live as he wishes with wonderfully entertaining results. The history of Russia is treated as a superb backdrop for the story.",5
"40","A Gentleman in Moscow: A Novel","Brilliant","Fred Olson","0143110438","R35B8C1IC054IR","1554979757","Being a voracious reader like many of you, I have waded through volumes of popular books like candy. They are sweet for a moment and then gone without a thought. Not so with this well written and wonderful story! I am sitting here smiling at the last sentence and wanting more. I do hope the writer reads these critiques and smiles to himself at a job well done and much appreciated.",5
"42","Run Away","Run away","Kathy Gisi","1538748460","R1BL1P79FVX58L","1554979906","Wow what a thriller. A happy family with a daughter with drug issues. But it turns out there are a number of twists and turns that have occurred that nobody knows about.  It was hard to follow at times but just as I felt I was lost something in the story would happen to get me back on track. A good read with a great story to it.",4
"44","The Home Edit: A Guide to Organizing and…","Fun to read","roberta f. cummings","0525572643","R3KG1T4JBTSK56","1554979975","Good advice and I laughed out loud several times. It's inspiring to see how well-known folks keep organized - really brings in the human element and helps keep things in perspective. Everyone has closets, pantries, cabinets, etc, that can benefit from some love...and humor.",5
"46","Cemetery Road: A Novel","On and on and on","judy","0062824619","RQ2S9QX63MZFA","1554980286","Too many words. It’s like meeting a friend who tells u a story which never ends. Glad this was a loan from the library.",2
"47","A Gentleman in Moscow: A Novel","Brings New Meaning to ""Must Read""","Bill D.","0143110438","R23RF4151ONAI","1554980297","One of the very best I've read in a long time! Amor Towles is a masterful story teller with remarkable skill in bringing the reader right into the scene. His descriptive powers are matched by his talent in character development. Through a protagonist imprisoned in an iconic Moscow hotel throughout the Bolshevik age, from Lenin to Khruschev, the reader really gets a feeling for the reality of Russia then.",5
"49","Pet Sematary: A Novel","Great Book!!","Christopher Cox","198211598X","R35HEP2NF0YM45","1554980429","Great book but was a little slow in developing towards the climax. Stephen King is an amazing writer and I can't wait to read more!",4
"51","The Woman in the Window: A Novel","Excellent","Sunshine","62678426","RVR1EZNITI92I","1554980523","It seems as though it starts out slow, and yet it doesn’t. I don’t know what else to say except you should definitely read this book if you like a good mystery.",5
"52","Cat and Nat's Mom Truths: Embarrassing Stories…","Trite and hackneyed.","sweetpea","0525574913","R3ZCN58P79JJZ","1554980699","Waste of time. Very hackneyed. Dependent on stereotypical mom behavior, not truths. Chapter 14 belittles dads. Many dads are very keyed into raising their children - not all dads, but many. Just like some mom’s suck. No reason to have a chapter that says dads are clueless and a short attention span. I know the book is supposed to be funny, but it missed the mark for me.",5
"53","Pet Sematary: A Novel","Shining Review","Ally Porter","198211598X","RKFTQ81EFRPDG","1554980761","I have heard great things about  this story for years, and I must say that it lived up to my expectations. Bravo!",4
"54","A Beginner's Guide to the Universe: Uncommon Ideas for Living an Unusually Happy Life","This book is a treasure","HeyThereLefty","1401955029","R1GSVXV6R1E358","1554980822","Being only a few pages in, I knew I should have gotten the physical copy! I want to share this book with SO many people that I love and that I know will benefit from this book. Mike Dooley is one of my favorite authors and I’ve read a majority of his books. With that in mind, I wasn’t sure what else I had to learn. I know the premise of most of his work: thoughts become things (choose the good ones), when you dream of something, take action and steps toward it. I bought the book with an open mind to learn more and also to support his work.  And when I started reading, I knew I was wrong. This man has so many more things to teach me!I know I will be gifting this book to so many people in the future. Buy this book with an open, welcoming mind and enjoy the messages you discover inside.",5
"55","Cemetery Road: A Novel","Bummer","Amazon Customer","0062824619","R2BFDPELWPERHU","1554981126","I am (was?) a huge Greg Iles fan,..,but in a capsule ..way too much sex, politics and a Ford Flex. I get it already.. , enough is enough!",2
"57","The Right Side of History: How Reason and Moral Purpose Made the West Great","Great","Pollylollypop","62857908","R3SMBKSWB4V1GR","1554981318","Great book",5
"58","Becoming Supernatural: How Common People…","Love his work.","Sande","1401953115","R3NN1ZDJ9P25W9","1554981430","Since I first saw What the Bleep Do We know  with Joe dispenser with Dr. Joe Dispenza I liked and resonated with his energy. I have read his books and look forward to reading Supernatural, his latest. I have experienced the power of “ changing your thinking “ in my life over 30 years ago and love the encouragement reminders from Dr. Joe. His books remind me of who I am.",5
"59","A Gentleman in Moscow: A Novel","On my shelf of favorite books. Every character (but the Bishop) is someone ...","Lois","0143110438","R2PTH5PD4EX596","1554981437","On my shelf of favorite books. Every character (but the Bishop) is someone you would want to have as a friend. Here's my personal story. I borrowed it from the library to read for my book club. I found I was putting so many barely visible pencil marks in the book I decided I needed to buy it on Kindle so I could make highlights. Now I have my favorite passages available to flip through.His writing is memorable, his characters are lovable, the plot is captivating...what more could a reader ask.",5
"61","Cemetery Road: A Novel","Very political!","Pam D.","0062824619","R2CB8CLMH0B512","1554981906","I’ve been a Greg Iles  fan for years but this book disappoints!  Please, please, please leave the political commentary out. I get it - you hate President Trump. A lot of us out here love him. Iles has every right to his opinion, but don’t shove it down my throat!",3
"62","Daisy Jones & The Six: A Novel","Loved this unique take on the rockstar genre","Amber Goleb","1524798622","RDXT6LNU480GY","1554981952","The author did a remarkable job creating these characters in this unusual format. I loved the ""insider"" feel, especially during the songwriting process. The angst she built up with Billy and Daisy was fantastic. There were so many lines about love and relationships I had to highlight. A really great book - though, I do think it could have been even better in a more traditional format. Still, a very worthy read.",5
"63","Hashimoto’s Food Pharmacology: Nutrition…","Life Changing","Maureen Lake","0062571591","R3W03V3CAIDGR0","1554982248","This book is not only full of great information about Hashimoto's but the recipes are amazing. I've tried a couple and so far everything is delicious. The book itself is so beautiful, the photos are wonderful to look at and it's so nice to have a sturdy cookbook! I love everything about this book!!!",5
"65","Pet Sematary: A Novel","Book Review Assignment","Amazon Customer","198211598X","R3LFPYK4U3ZOZE","1554982317","Book Review: Pet SemataryThe book Pet Sematary is a horror book written by Stephen King. Stephen King is an author who has written many horror stories such as It and so on. He has also written books in other genres such as action and science fiction. An example would be The Gunslinger, but he is known mainly for horror stories.Louis and his family had just recently moved to Maine from Chicago. Louis and his family meet Jud Crandall who helps pull a stinger out of Gages neck. The house they moves to is near a large road which trucks go by a lot. They find a cemetery near their house with a sign that misspells cemetery. Gage is taught how to fly a kite and while they’re not paying attention something horrible happens.When writing this book Stephen King wrote this to show that playing god is a bad idea and that the actions you take will lead to consequences. The lesson was don’t try to fix what has been done and move on. When Louis buries Church the cat comes back alive but stinks, and hates him.I think this is a great book, I enjoyed reading it despite the amount of language. I think that Stephen King could have improved it by making his books for teenager friendly. Otherwise it would be nice if he didn’t use so much language.I would recommend Pet Sematary to teenagers and adults that are mature. The book being in the horror genre means it will have gore, blood, and profanity. If you are not ok with those things, this is not a book for you.",4
"67","A Gentleman in Moscow: A Novel","A Study in Russian Character.","Patty","0143110438","R2X9FYE3YD8ULR","1554982397","In the story of how one man's life is influenced by the events in Russia from the revolution to 1953, you learn much about the culture, the life and what it meant to be Russian.  This well written novel draws a very clear picture of how one man in greatly reduced circumstances can still have a very rich life.",5
"68","Milkman: A Novel","Beautiful, winding book that you’ll remember","Sheela","1644450003","R1K882J33DL780","1554982406","The prose is evocative and digressive. A vast majority of the book consists of non-sequiturs and musings. Language is beautiful yet simple, not flowery but with sophisticated diction. It’s still able to drive forward and tell a subtle tale that illuminates relevant and important themes.",5
"70","After (The After Series)","Yay!!","Naomi","1982111003","RYMFEGCUQSAFF","1554982504","I read this book originally on wattpad before it was a published book and I feel inlove with it. Sometimes after reading endless amounts of fantasy books with complicated plot lines I long for something full of lust and emotion. Yes the relationship between the main characters isn't what I would call healthy but that's what drew me in so much was the endless amount of drama. Two characters who are literally polar opposites of each other yet they have this incredible chemistry which as the reader drives you crazy and I found myself almost unable to put it down I just kept wanting to know what was going to happen next. Can't wait to get my hands on the rest of the series! Anna Todd is defiantly one one my favourite authors, her writing is so easy to read.",5
"71","Cemetery Road: A Novel","Greg Iles Does It Again!","MrClean1982","0062824619","R1XCKVBGWZMH9J","1554982926","I've read all of Greg Iles books and over the years he has become my favorite author. He gently takes you into his world and you get the gritty feel of the deep South and all of the wonderful characters. I was totally stunned by the number of one-star reviews...almost all of them because of political reasons. I'd bet that most of these mouth breathers never read the book at all!  It's a real shame that Amazon allows this practice.",5
"72","Hashimoto’s Food Pharmacology: Nutrition…","A Must Have in Your Health Toolkit","Dr. Debi Silber","0062571591","R29BXUTIVBV6EQ","1554983028","Izabella eliminates the confusion around Hashimotos. She also offers a deliciously healthy solution to meal planning. This is a must have book to keep in your library as well as in your kitchen. Great job!",5
"74","The Woman in the Window: A Novel","Didn't like that the main character was drunk almost the whole ...","Amazon Customer","62678426","R1TPEKZBTZ7HUL","1554983240","Eh. It was alright. Didn't like that the main character was drunk almost the whole time.",3
"75","The Home Edit: A Guide to Organizing and Realizing Your House Goals (Includes Refrigerator Labels)","The best book you will ever purchase!","GoldieLox","525572643","R16JVHT4HC8PK9","1554983258","Best book you will purchase. Ever. It’s just all around amazing just like the authors!",5
"80","A Gentleman in Moscow: A Novel","Never quite what you you think","Bill Condon","0143110438","R3KJVFYB2VHBTY","1554983597","This brilliantly constructed novel tells the story of Count Alexander Ilyich Rostov, whose progress from a Bolshevik courtroom to an astonishing future keeps the reader fully engaged and entertained. The author weaves a tale of Russian history, personal tragedy and triumph, and human comedy. This is a masterful book that will make you laugh, cry, and gape with surprise—sometimes all at once m",5
"81","QAnon: An Invitation to The Great Awakening","WWG1WGA","Antonio","1942790139","R1WX7Q0T09K9G6","1554983651","Following Q since Oct, 2018.",5
"82","A Gentleman in Moscow: A Novel","I loved this book","Penny Bamber","0143110438","R1D583JHLMGLOP","1554983657","I loved this book. A beautifully written novel that provides insights into the changes taking place in Russia in the first half of the twentieth century. It at once showcases the ideals of the Russian revolution together with nostalgia for the loss of tradition and culture of the Tsarist era. It contrasts the evolving political cultures of the West versus their Soviet counterparts - highlighting important issues such as gender equality, efficiency, and economic planning, while at the same time, illustrating how the regime established for the collective good erased all measure of the importance of the individual. This is all wrapped up in a winding tale of a charming old gentleman and his love for the finest things in life. A treat for anyone who demands to learn while they are entertained!",5
"84","QAnon: An Invitation to The Great Awakening","Opened my eyes","PCO","1942790139","RAQPC1T18QTA4","1554984017","Refreshing and surprising perspectives.  Sick of the main stream media spoon fed news? Really made me think and rethink. Do your own research on topics covered.",5
"85","Hashimoto’s Food Pharmacology: Nutrition…","Such an important book for us ALL!","Amazon Customer","0062571591","R1LQE6HT4XS2YT","1554984048","What a blessing Izabella Wentz is with her series of books on Hashimoto's. She has both the expertise and passion. She makes it easy for us all to eat healthy and joyfully. This is definitely one I'll be recommending to all my patients.  I've already tried three of the recipes and they were fantastic. Great job Izabella!",5
"86","Cemetery Road: A Novel","Engrossing tale of corruption and greed!!","Patrick W. Blankenship","0062824619","R1LJR8PKSOW4BS","1554984066","I never write reviews for the books that I read.  The 1 star reviews that I saw for this book would have otherwise deterred me if the book wasn't written by Greg Iles.  However, I have read every one of his books and this one does not disappoint.  Like other reviewers I am not sure how people see this as a book that bashes Trump.  The book is set in the present.  Trump is currently our president.  I kept waiting for the supposed Trump bashing but it just didn't materialize.  The author may reference briefly the political climate, which seems fitting considering the 24/7 news cycle we live in and the division that many of us see and feel within the country and often our own families.  It seems like it would be insincere to write a book set in the present and not have that be mentioned.  Everyone is entitled to his/her opinion but good books are hard to come by and for those that enjoy a good book, this is indeed well worth the price.",5
"87","A Gentleman in Moscow: A Novel","A TRUE DELIGHT, an endearing tale of historical fiction!","Debbie","0143110438","RXGY81FWAU1TZ","1554984077","Such a delightful, very well written, descriptive story of a gentleman from Moscow. The tale is woven with  the greatest of characters, set amid the historical background of Moscow from the 1920's-1950's. Absolutely charming! A book very hard to put down and characters you will greatly miss when coming to the end of the story.",5
"88","The Woman in the Window: A Novel","Definitely a page-turner","Sharon M.","62678426","RU48YCA3G71OV","1554984138","This was the best suspense novel I’ve read in some time, with depth of character, astute pacing, twists aplenty, and prose that impels the reader through the climactic scenes.  I agree with the reviewers who said that Hitchcock would have snapped up the film rights instantly.",5
"89","Wolf Pack (A Joe Pickett Novel)","Not his best, but as always, a must read","Pure Gold Annie","525538194","R2JMTBSTBKQEHX","1554984267","The plot is somewhat similar to one used earlier with gang members and gangsters.  The ""Wolf Pack"" don't seem as real, as well crafted, as most of his characters.  Having mentioned those negatives, the book still moves well and his affection (or not affection)for his characters is clear. The scenes with Lucy, Nate, and the new game warden work well. Bottom line: till a better read than most anybody else! And I have his next book, ""The Bitterroots,"" pre-ordered! It's not a Joe Pickett, but still...",4
"92","A Gentleman in Moscow: A Novel","You won’t want to put it down.","J B Shaw","0143110438","R26UVU9M8GLSJG","1554984797","One of the best books I have read in a long time.  When I first started to read it I thought, how is the author going to writ a whole book about this situation.  Well he did and it was quirky,  funny, serious and many other things.  The Count really was a gentleman and the language of  the writing was a delight.  Very sad when it ended.  Marvelous book.",5
"93","Pet Sematary: A Novel","The Shining","Josh Anderson","198211598X","R33NHWGDG94SY2","1554984886","Stephen King cannot be beaten when it comes to building his characters. I come away every time imagining that I have known them for a very long time. This book is excellent and has a fantastic surprise ending.",5
